"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",0.829443631944301,0,0,0.0294559911014069,0.03580550806435,0,0,0
"P_00002",0.425515479844275,0,0,0,0.105964323233155,0,0,0
"P_00003",0.764429315920654,0,0,0.0525058191031372,0.0100057676066492,0,0,0
"P_00004",0.703668609800812,0,0,0,0.0501060827651554,0,0,0
"P_00005",0.718648938142419,0,0,0,0.0409036603703627,0,0,0
"P_00006",0.901832245040888,0,0,0,0,0,0,0
"P_00010",0.998290316600408,0,0,0,0,0,0,0
"P_00015",0.974869713885513,0,0,0.00819824087997199,0.00909427977011968,0,0,0
"P_00018",0.943292067480998,0,0,0.00339361855521453,0.0518672626526871,0,0,0
"P_00022",0.939919047520959,0,0,0.0087904504912765,0.0165870187653202,0,0,0
"P_00026",0.838882938183616,0,0,0.00764207881022514,0.0506107483469627,0,0,0
"P_00030",0.991801759120028,0,0,0,0.00277566069994026,0,0,0
"P_00036",0.844846231487013,0,0.0324685356458689,0.121830391167322,0,0,0,0
"P_00037",0.793411539333017,0.00918182379961687,0.0271077512513647,0.140765649782685,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0
"P_00045",1,0,0,0,0,0,0,0
"P_01198",0.884606669825118,0.0773374255875749,0,0.0239304179454961,0,0,0,0
"P_00047",0.892207551444991,0,0,0,0.0838723299071003,0,0,0
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",1,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0
"P_00053",0.935526397099718,0,0,0.0103198961830803,0.0541537067172019,0,0,0
"P_00054",0.997847446804128,0,0,0.00215255319587204,0,0,0,0
"P_00055",0.936602673697654,0,0,0.0633973263023462,0,0,0,0
"P_00061",0.992162234535605,0,0,0,0.00783776546439533,0,0,0
"P_00066",0.853719076358992,0,0,0.0510433188456547,0.0256812985354399,0,0,0
"P_00070",0.982341854285538,0,0,0,0.000180237707788329,0,0,0
"P_00072",1,0,0,0,0,0,0,0
"P_00073",0.926962531155375,0,0.0145426081941212,0.0350176117988753,0,0,0,0
"P_00077",0.991600922817064,0,0,0.00839907718293612,0,0,0,0
"P_00084",0.902125775022144,0,0,0,0.0253671699590088,0,0,0
"P_00087",0.877798834119513,0.0906441180711475,0.0287350402702536,0.00282200753908583,0,0,0,0
"P_00088",0.978876140647208,0,0,0.0211238593527921,0,0,0,0
"P_00089",0.880188271159907,0,0,0,0.0440294971882918,0,0,0
"P_00093",0.977449687931283,0,0,0,0,0,0,0
"P_00095",0.784167919747873,0.126032504583187,0,0.00913032731167734,0.00505695511566111,0,0,0
"P_00098",0.945181988588378,0.0115300636496591,0,0.00980493130368509,0.00106597730034812,0,0,0
"P_00102",0.815354192844048,0,0,0,0,0,0,0
"P_00109",0.990092075720436,0,0,0,0,0,0,0
"P_00113",0.896450862051208,0,0,0,0.00906853152614992,0,0,0
"P_00114",0.977835911590829,0,0,0,0.0221640884091705,0,0,0
"P_00116",0.919433744618617,0,0.0073125012874122,0.0282149257420644,0,0,0,0
"P_00119",0.941690526706079,0,0,0.00213710424949018,0,0,0,0
"P_00123",0.918584052567615,0,0,0.00169938410200424,0.0610336375059221,0,0,0
"P_00124",0.775799740457701,0,0,0.00856901559313655,0.0283900138010588,0,0,0
"P_00131",0.959652501699384,0,0,0.00269326631923703,0.0302644859620574,0,0,0
