"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"P_00001",0,0,0,0,0,0,0.756964667054941,0,0,0.0736750145602796,0.134334757005112,0,0,0.00787872904937553,0,0,0,0.0271468323302919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00002",0,0,0,0,0,0,0.296471558920598,0.122815958066395,0,0.549715265644211,0,0,0,0,0,0,0,0.0309972173687957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00003",0,0,0,0,0,0,0.756835242347764,0,0,0.170500873616773,0.00117291140878794,0,0,0.0714909726266744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00004",0,0,0,0,0,0,0.29845337474924,0.372767423801204,0,0.305903384456093,0,0,0,0,0,0,0,0.0228758169934641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00005",0,0,0,0,0,0,0.0333673073189672,0.703132077913674,0,0.203358571151233,0,0,0,0,0,0,0,0.0601420436161263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00006",0,0,0,0,0,0,0.82251019219569,0,0,0.0409305636445998,0.13655924415971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00010",0,0,0,0,0,0,0.471283893095192,0.15729955348476,0.328698311007571,0,0,0,0,0,0.0427182424124765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00015",0,0,0,0,0,0,0.975967449686145,0,0,0,0,0,0,0.0116158674690999,0,0,0,0.0124166828447551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00018",0,0,0,0,0,0,0.252685562673914,0.663269268103281,0,0,0,0,0,0,0,0.0525787872904938,0,0.0314663819323109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00022",0,0,0,0,0,0,0.950309001488384,0.0173348217174659,0,0.00185239112146509,0.0228919950818611,0,0,0,0,0,0,0.00761179059082379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00026",0,0,0,0,0,0,0.311112728919951,0,0.21161748527794,0.125072801397787,0.0934284604931081,0,0.172078237235488,0.0007765482430596,0,0.0123438814469682,0,0.0735698569856986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00030",0,0,0,0,0,0,0.956335339416295,0,0,0,0.0436646605837054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00036",0,0,0,0,0,0,0.859493302271404,0,0,0.00134278133695723,0.00191710347505339,0,0,0.0979178800232964,0,0.00771694816540478,0,0,0,0,0,0,0,0.00486960460751958,0,0,0,0,0,0,0.026742380120365,0,0,0,0,0,0,0,0,0,0
"P_00037",0,0,0,0,0,0,0.610213227205073,0,0,0.0152316702258461,0.0290315796285511,0,0,0.189841778295477,0,0.125760370154663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299213744903902,0,0,0,0,0,0,0,0,0,0
"P_00042",0,0,0,0,0,0,0.93279622079855,0,0,0,0,0,0,0,0,0.0672037792014496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00045",0,0,0,0,0,0,0.999684527276257,0,0,0,0.000315472723742963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_01198",0.04120559114735,0,0,0,0,0,0.862688474729826,0.00190901443085485,0,0.0218323302918527,0.0347748010095127,0,0,0.0375897883906038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00047",0,0,0,0,0,0,0.880710865204168,0,0,0.0234258719989646,0.00172296641428849,0,0,0,0,0,0,0.0941402963825794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00048",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00050",0,0,0,0,0,0,0.645627062706271,0,0,0,0.354372937293729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00051",0,0,0,0,0,0,0.999878664337022,0,0,0,0.000121335662978063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00053",0,0,0,0,0,0,0.927457451627516,0,0,0,0,0,0,0.0123196143143726,0,0,0,0.0602229340581117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00054",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00055",0,0,0,0,0,0,0.895772665501844,0,0,0,0.0505403481524623,0,0,0.0404290429042904,0,0.013257943441403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00061",0,0,0,0,0,0,0.977326409111499,0,0,0,0.0226735908885006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00066",0,0,0,0,0,0,0.745858409370349,0,0,0.0730764252895878,0.125728013977868,0,0,0.0512036497767424,0,0,0,0.00413350158545266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00070",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00072",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00073",0,0,0,0,0,0,0.780317737656119,0,0,0.0246068724519511,0.147746392286287,0,0,0.0282145861644988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191144114411441,0,0,0,0,0,0,0,0,0,0
"P_00077",0,0,0,0,0,0,0.847367825017796,0,0,0,0.152632174982204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00084",0,0,0,0,0,0,0.445212903643306,0.437989387174012,0,0.0771290364330551,1.6178088397075e-05,0,0,0,0,0,0,0.0396524946612308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00087",0.0660146897042646,0,0,0,0,0,0.732066589011842,0.166707111887659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352116093962337,0,0,0,0,0,0,0,0,0,0
"P_00088",0,0,0,0,0,0,0.851760176017602,0.0767003170905326,0,0,0.0564857956383874,0,0,0.0150537112534783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00089",0,0,0,0,0,0,0.639527923380573,0.121456998641041,0.0814162298582799,0.0638791820358506,0,0,0.0781401669578723,0,0,0,0,0.0155794991263832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00093",0,0,0,0,0,0,0.124247718889536,0.875752281110464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00095",0.100619620785608,0,0,0,0,0,0.548016566362519,0.313151168057982,0,0.0378567268491555,0,0,0,0,0,0,0,0.00035591794473565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00098",0,0,0,0,0,0,0.65729955348476,0.298404840484048,0,0.0300507991975668,0.00727205073448521,0,0,0.00697275609913933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00102",0,0,0,0,0,0,0.323739726913868,0.465637740244613,0,0.210622532841519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00109",0,0,0,0,0,0,0.763735197049117,0.235302206691257,0,0.000962596259625963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00113",0,0,0,0,0,0,0.687965120041416,0.211803533294506,0,0.100231346664078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00114",0,0,0,0,0,0,0.889115382126448,0.0996974697469747,0,0,0,0,0,0,0,0,0,0.0111871481265774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00116",0,0,0,0,0,0,0.925912444185595,0,0,0.0535818287711124,0,0,0,0.00529832395004206,0,0.010774606872452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443279622079855,0,0,0,0,0,0,0,0,0,0
"P_00119",0,0,0,0,0,0,0.920597942147156,0,0.0160082184689057,0.0633938393839384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00123",0,0,0,0,0,0,0.87217692357471,0.0414806186501003,0,0.0111143467287905,0,0,0,0,0,0,0,0.0752281110463988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00124",0,0,0,0,0,0,0.219148385426778,0.564615285057918,0,0.187576845919886,0.0209425354300136,0,0,0.00372904937552579,0,0,0,0.00398789878987899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00131",0,0,0,0,0,0,0.905204491037339,0.0330922798162169,0,0.0116077784249013,0,0,0,0.00423057011583511,0,0,0,0.0458648806057076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00133",0,0,0,0,0,0,0.700964214068466,0.299035785931534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00135",0,0,0,0,0,0,0.952331262538018,0.0476687374619815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00138",0,0,0,0,0,0,0.000339739856338575,0.827331262538018,0,0.079054228952307,0,0.000121335662978063,0,0.0931534329903579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00141",0,0,0,0,0,0,0.480820876205268,0.388104251601631,0,0.00667346146379344,0,0.124401410729308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00143",0,0,0,0,0,0,0.901402640264026,0.0619782566491943,0,0.0339335404128648,0,0,0,0.00268556267391445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00145",0,0,0,0,0,0,0.197445479842102,0.773830324208892,0,0,0,0,0,0,0,0,0,0.0287241959490067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00147",0,0,0,0,0,0,0.961310101598395,0,0,0.0322105739985763,0,0,0,0,0,0,0,0.00647932440302854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
