"","plot_id","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","mx","mx2","mx3"
"1","P_00001",0,0,0,0,0,0,0.813859399274987,0,0,0,0.186140600725013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"2","P_00002",0,0,0,0,0,0,0.268902123252201,0.249093733816675,0,0.482004142931124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","7","8"
"3","P_00003",0,0,0,0,0,0,0.923647074054894,0,0,0.0756732263076126,0,0,0,0.000679699637493527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","10","14"
"4","P_00004",0,0,0,0,0,0,0.287545313309166,0.384904194717763,0,0.327550491973071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","10","7"
"5","P_00005",0,0,0,0,0,0,0,0.80923096841015,0,0.0460577421025375,0,0,0,0,0,0,0,0.144711289487312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","18","10"
"6","P_00006",0,0,0,0,0,0,0.939959865354739,0,0,0,0.0600401346452615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","1"
"7","P_00010",0,0,0,0,0,0,0.703521491455205,0.0176721905748317,0.276346452615225,0,0,0,0,0,0.00245986535473848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","9","8"
"8","P_00015",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"9","P_00018",0,0,0,0,0,0,0.0583570688762299,0.904550750906266,0,0,0,0,0,0,0,0,0,0.0370921802175039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","7","18"
"10","P_00022",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"11","P_00026",0,0,0,0,0,0,0.130664163645779,0,0.195429829104091,0.122669601242879,0,0,0.413451579492491,0,0,0.000582599689280166,0,0.137202226825479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13","9","18"
"12","P_00030",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"13","P_00036",0,0,0,0,0,0,0.827388658726049,0,0,0,0,0,0,0.11787933713102,0,0.0182224236147074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365095805282237,0,0,0,0,0,0,0,0,0,0,"7","14","31"
"14","P_00037",0,0,0,0,0,0,0.538257379596064,0,0,0.0169924909373382,0,0,0,0.220675815639565,0,0.224074313827033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","16","14"
"15","P_00042",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
"16","P_00045",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","1","2"
