"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_10197",0.153375935966951,0.100632584559773,0.0344552026852569,0.0426219984508133,0.00350761683449522,0,0,0
"P_09732",0.814457784663052,0.0194732765298218,0.00132455460883036,0.0946307771753163,0,0,0,0
"P_09733",0.921204492641363,0,0,0.0210379550735864,0,0,0,0
"P_09740",0.858421120578363,0.02428350116189,0.00442550994061451,0.021143816163181,0,0,0,0
"P_09742",0.939490059385489,0.0388303640588691,0,0.0185734572682675,0,0,0,0
"P_09746",0.509971598244255,0.0695765556416215,0.219805060676478,0.0480790085205267,0.0187903434030467,0,0,0
"P_10144",0.719326103795507,0.193392718822618,0.00366124451329719,0.0525290472501936,0,0,0,0
"P_10146",0.921466563387555,0,0.00938290730699716,0,0,0,0,0
"P_10149",0.980595145881745,0.00798993028659954,0,0.00607539375161374,0,0,0,0
"P_10157",0.97919054996127,0,0,0.0050296927446424,0,0,0,0
"P_10159",0.929613994319649,0,0,0.00305060676478182,0,0,0,0
"P_10176",0.73570100697134,0,0,0.0230518977536793,0.00984120836560806,0,0,0
"P_10177",0.577867286341337,0.0309243480506068,0,0.0258430157500645,0,0,0,0
"P_10181",0.999998709011103,0,0,0,0,0,0,0
"P_10183",0.9687115930803,0,0,0.0300826232894397,0,0,0,0
"P_10198",0.330599018848438,0.265493157758843,0.0326633100955332,0.0437606506584043,0.00196101213529564,0.0402827265685515,0,0
"P_10200",0.738982700748773,0.0783668990446682,0.0248967208882004,0.0575161373612187,0.00235089078233927,0.000587399948360444,0,0
"P_10205",0.97627291505293,0,0,0,0,0,0,0
"P_10219",0.876775109734056,0,0,0,0.00498450813323005,0,0,0
"P_10222",0.917498063516654,0,0,0.00752388329460367,0.0228956880970824,0,0,0
"P_10225",0.688803253292022,0,0,0.0444177640072295,0,0,0,0
"P_10227",0.996383940098115,0,0,0,0,0,0,0
"P_10244",0.838676736380067,0,0,0.00446553059643687,0.00116963594113091,0,0,0
"P_10248",0.99152078492125,0,0.00648851019881229,0,0.00199070487993803,0,0,0
"P_10267",0.708844564936742,0,0,0.0651678285566744,0,0,0,0
"P_10270",0.540156209656597,0.234490059385489,0.00115156209656597,0.0107823392718823,0.00333204234443584,0.0020862380583527,0,0
"P_10272",0.960122643945262,0.0062574231861606,0,0.0269145365349858,0,0,0,0
"P_12680",0.802707203718048,0.142019106635683,0.0146398140975988,0.0161722179189259,0,0,0,0
"P_12734",0.790857216627937,0.0411799638523109,0,0.0011154144074361,0,0,0,0
"P_12738",0.856577588432739,0.0654027885360186,0.0215543506325846,0.0119106635682933,0,0,0,0
"P_12745",0.58222695584818,0.124612703330751,0.000894655305964369,0.0976620191066357,0,0,0,0
"P_10285",0.969613994319649,0,0,0,0,0,0,0
"P_10289",0.68353085463465,0,0.00854892847921508,0,0.105604182804028,0.0408985282726569,0,0
"P_10290",0.94148463723212,0,0,0.0171869351923573,0.00218564420345985,0,0,0
"P_10291",0.944811515620966,0.0180544797314743,0,0,0.000659695326620191,0.001143816163181,0,0
"P_10311",0.702776917118513,0,0.0783501161890008,0.0151045701006971,0.0432713658662535,0.0249690162664601,0,0
"P_10312",0.96294861864188,0,0.0216511747998967,0.00189904466821585,0.00522075910147173,0,0,0
"P_10313",0.773999483604441,0.0197534211205784,0,0.0795843015750065,0.0257707203718048,0,0,0
"P_10315",0.731852569067906,0,0,0,0.0203369481022463,0,0,0
"P_10329",0.798600568035115,0,0,0.00484637232119804,0.0271352956364575,0,0,0
"P_10330",0.670143299767622,0,0.149756003098373,0.0277110766847405,0.0455551252259231,0.0370333075135554,0,0
"P_10331",0.872645236250968,0,0.013004131164472,0,0.0995507358636716,0,0,0
"P_10359",0.701389104053705,0.143454686289698,0,0.073293312677511,0.0360198812290214,0,0,0
"P_10382",0.774673379808934,0.0304441001807384,0,0.0572553576039246,0.0343687064291247,0,0,0
"P_10393",0.84855151045701,0,0,0.0192847921507875,0.0663697392202427,0,0,0
"P_10394",0.661680867544539,0,0,0.11712367673638,0.0792434805060677,0,0,0
"P_10416",0.531444616576297,0.00195326620191066,0.000380841724761167,0.0691737671056029,0.128705138135812,0,0,0
"P_10428",0.654817970565453,0.0456196746707978,0.0127962819519752,0.0257875032274722,0.11855151045701,0,0,0
"P_10430",0.658452104311903,0.144122127549703,0.0147585850761683,0.0383681900335657,0.0800968241673122,0.00108184869610121,0,0
"P_12767",0.499470694552027,0.108601859024012,0.0167725277562613,0.0927059127291505,0.0908313968499871,0,0,0
"P_12768",0.755502194681126,0.0293996901626646,0.00715595145881745,0.0387296669248644,0.0700658404337723,0,0,0
"P_12905",0.517326361993287,0,0.0116589207332817,0.00708882003614769,0.27421636973922,0,0,0
"P_10433",0.968361735089078,0,0,0,0.00215336948102246,0,0,0
"P_10435",0.953585076168345,0,0,0.00518719339013685,0.0380815904983217,0,0,0
"P_10971",0.653160340821069,0.0643712884069197,7.87503227472244e-05,0.054710818486961,0.00898399173767106,0,0,0
"P_10998",0.691269042086238,0.182024270591273,0,0.0136354247353473,0.0226155435063258,0,0,0
"P_11021",0.605543506325846,0.00738962044926414,0.00394913503743868,0.0172695584817971,0.045153627678802,0,0,0
"P_11022",0.728326878388846,0,0,0,0.0312148205525432,0,0,0
"P_11040",0.870973405628712,0.0701729925122644,0.00269171185127808,0.0160586108959463,0.015557707203718,0,0,0
"P_11041",0.581152853085463,0.0887929253808417,0.0137761425251743,0.0427188226181255,0.0771804802478699,0,0.00603408210689388,0
"P_11043",0.399066615027111,0,0,0,0.330459592047508,0,0,0
"P_11057",0.810117479989672,0.160743609604957,0.0011722179189259,0.00396720888200361,0,0,0,0
"P_11058",0.922189517170152,0.0204131164471986,0,0.0190395042602634,0.0127872450296927,0,0,0
"P_11061",0.76929899302866,0.0231306480764265,0,0,0.18643816163181,0,0,0
"P_11063",0.666012135295636,0.141924864446166,0.00222050090369223,0.0533100955331784,0.00175574490059385,0,0,0
"P_11081",0.76718048024787,0.190200103279112,0,0,0.0318912987348309,0,0,0
"P_11082",0.656812548412084,0.0183836819003357,0,0.00498838109992254,0.0967363800671314,0,0,0
"P_11101",0.930091660211722,0,0,0,0.0699083397882778,0,0,0
"P_11103",0.966834495223341,0,0,0,0.0331655047766589,0,0,0
"P_11109",0.685796540149755,0,0,0.0718254583010586,0.069572682674929,0,0,0
"P_11129",0.878128066098631,0,0,0,0.0818357862122386,0,0,0
"P_11132",0.930537051381358,0,0,0,0.0189104053705138,0,0,0
"P_11153",0.846939065324038,0.0340175574490059,0.000298218435321456,0.0694771494965143,0.0323082881487219,0,0,0
"P_12826",0.528714175058094,0.201107668474051,0.00314484895429899,0,0.0523934934159566,0,0,0
"P_11166",0.996139943196488,0,0,0,0,0,0,0
