"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"P_00001",0.0981365955316183,0.00290945505230253,0.000703682152184798,0.015237425064617,0.00623841292609984,0.00117731437000149,0.279307685021043,0.101722668037945,0.104794511279213,0.157963110816407,0.0100004059704724,0.00680677158747987,0.0116107555110492,0.138070557668106,0.00920199737472428,0.0121249847761073,0,0.0309349499979701,0,0.00170507598414009,0,0,0.00372139599713114,0.00152915544609389,0,0.00295005209954396,0,0,0.000175920538046199,0,0.00136676725712816,0.0012314437663234,0,0.000311244028850968,0,0,0,6.76617454023844e-05,0,0,0
"P_00002",0.0847492335416228,0,0.00423014814294741,0.0139600739544572,0.00505511479323176,0,0.218668819771116,0.129162863628917,0.108842940391771,0.149067378127267,0.0209459617589927,0.00903952818928597,0.0143930351751738,0.136827447401063,0.0067869596760982,0.00595029137119989,0,0.0747033630555361,0.000245734746893211,0.00291956282618362,0.00177280067401531,0,0.000912729059889068,0.00140419855367549,0.000239883919586229,0.0014627068267453,0.00232862926817852,0,0.00186056308362002,0,0.00160897750941983,0.00174939736478738,0,0.000122867373446605,0,0,0,0.000988789814879824,0,0,0
"P_00003",0.0802025408020254,0,0.00496179754961798,0.0136760251367603,0.006781500067815,0,0.207830372078304,0.139314616393146,0.0998406347484063,0.148582666485827,0.0269564627695646,0.0101270401012704,0.00995185134951851,0.140422261404223,0.00781567882815679,0.00865206383652064,0,0.0726016094760161,0.00020344500203445,0.00265608752656088,0.00240743252407433,0,0,0.00169537501695375,0.00193837876938379,0.0016727700167277,0.00344726253447263,0,0.00170667751706678,0,0.002712600027126,0.00118676251186763,0,0.000469053754690538,0,0,0,0.00185926126859261,0.000327772503277725,0,0
"P_00004",0.0805838437887594,0.000629654094177244,0.0061420974847101,0.0178489115300357,0.00692619503594968,0,0.209867273669054,0.136653946861947,0.102866470563077,0.140515033288505,0.0233304662291561,0.00790037684203523,0.01435136124087,0.14179572595553,0.00788374446973621,0.00944243535947309,0,0.0754824575993309,0,0.00136860663489092,0.00160858800663394,0,0.000983686018827845,0.00197212414402684,0.00170838224042807,0.00133058978392172,0.00291541725869992,0,0.0014256319113447,2.37605318557451e-05,0.00245208688751289,0.00105734366758066,0,0.000266117956784345,0,0,0,0.000667670945146436,0,0,0
"P_00005",0.0972955925254277,0,0.00277172957138265,0.0138161924805463,0.00468828656166037,0,0.224030956034425,0.142377137173321,0.104895104895105,0.150486114059401,0.025085062379078,0.0113295204361987,0.00862450645624973,0.151122944704905,0.00414849677642392,0.00561017473419902,0,0.0365358838906107,0,0.00214702903341238,0.00170428010844316,0,0.00150413333414201,0.000697481183170689,0.000418488709902413,0.00120694569957363,0.00172247526974327,0,0.00238356613031375,0,0.00209850860327877,0.00125546612970724,0,0.000103105914033928,0,0,0.000721741398237495,0.000588310215370059,0,0.000630765591736971,0
"P_00006",0.0865493172764906,0,0.00346509695880937,0.00394793833831559,0.00369941704004033,0,0.294689454886284,0.12306774690591,0.116968324185383,0.185546001292311,0.0348284848011475,0.0102319768804187,0.00766155659540023,0.0742652645331705,0.00840712049022601,0.0029609537537367,0,0.0230627764799443,0,0.00471480405870783,0.00160473752600598,0,0,0.00106509127832255,0.000433137119851171,0.0010437894527561,0.00209467951403435,0,0.00220118864186661,0.000738463286303636,0.00273373428102788,0.0021159813396008,0,0,0,0,0,0.000624853549949231,0,0.00127810953398706,0
"P_00010",0.0839450865238615,0,0.00205800047685377,0.00449873884726876,0.00295523848962843,0,0.305343271969783,0.125845474281268,0.119495789883171,0.178807614601764,0.0309076535029929,0.00917316066207381,0.00689555647579967,0.0718355105472524,0.0103213743427575,0.00273563478020806,0,0.0245767922799885,0,0.00745397733689719,0.00127370151463816,0,0,0.000376463501863494,0.000564695252795241,0.000389012285258944,0.00234662249494911,0,0.00172545771687435,0,0.00248465911229906,0.00241564080362409,0,0,0,0,0.000188231750931747,0.000106664658861323,0,0.00127997590633588,0
"P_00015",0.0754688680823569,0,0.00085956744720006,0.0048689592311198,0.00496126177578558,0,0.281834282318871,0.131358058877486,0.119774089521931,0.202407942633968,0.0238198254328124,0.00356518578771569,0.0168279076743797,0.0500279792088518,0.00946677973728388,0.0108974691796034,0,0.0258216368702515,0,0.00422284141845936,0.00192681561989812,0.00497856850291041,0.00347865215209152,0.00218064761772901,0,0.00404400523816941,0.00334596724413446,0.0016556768949424,0.00154606762315179,0,0.00338058069838413,0.00225564343526996,0,0,0,0,0.0017075970763169,0.00197296689223101,0,0.0013441558066954,0
"P_00018",0.101209897818651,0.000284035984256291,0,0.00251813414613771,0.00310052725671363,0.000353254837562446,0.318578578913073,0.128372330598791,0.109248832230208,0.148665388902547,0.0181043104250754,0.0169657796310396,0.0236227238334833,0.0594255789918393,0.00515322428579271,0.00743267273087471,0,0.0155432128527476,0.000446342260974172,0.0021792004506386,0.00174479247471722,0.00896742178866291,0.00484531973143085,0.000665933105945422,0.000759020529357148,0.00645883507056743,0.00696484875680553,9.78611374328398e-05,0.00124355250250023,0,0.00300027926227024,0.00108840679681402,0.00033415998147799,0.000491692544174756,6.44451392850409e-05,0,4.77371402111414e-05,0.000990545659381183,0.000856881666789988,0.000174240561770666,0
"P_00022",0.09638637304032,0,0,0.00448829938853386,0.00255160682267482,0,0.310089191301549,0.133275481587053,0.122718495701347,0.152763091352122,0.017941703829709,0.0124362098294331,0.0217806077881477,0.0511068456622684,0.00693071582915728,0.00875821801296492,0,0.015757896188681,0.00118960047813894,0.00363201691876236,0.00361477633212266,0.00890763643050894,0.00544802537814353,0.000545951910257,0,0.00675830996276033,0.00525263206289366,0,0.00118960047813894,0,0.00239644154291757,0.00202864236127075,0,9.76966576249368e-05,0,0,0,0.00161486828191807,0.000339064870580663,0,0
