"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",0.891299424060053,0,0,0.00787872904937553,0.0271468323302919,0,0,0
"P_00002",0.419287516986993,0,0,0,0.0309972173687957,0,0,0
"P_00003",0.758008153756552,0,0,0.0714909726266744,0,0,0,0
"P_00004",0.671220798550443,0,0,0,0.0228758169934641,0,0,0
"P_00005",0.736499385232641,0,0,0,0.0601420436161263,0,0,0
"P_00006",0.9590694363554,0,0,0,0,0,0,0
"P_00010",1,0,0,0,0,0,0,0
"P_00015",0.975967449686145,0,0,0.0116158674690999,0.0124166828447551,0,0,0
"P_00018",0.968533618067689,0,0,0,0.0314663819323109,0,0,0
"P_00022",0.990535818287711,0,0,0,0.00761179059082379,0,0,0
"P_00026",0.800580793373455,0,0,0.0007765482430596,0.0735698569856986,0,0,0
"P_00030",1,0,0,0,0,0,0,0
"P_00036",0.869127353911862,0,0.0316119847278846,0.0979178800232964,0,0,0,0
"P_00037",0.765005176988287,0,0.0299213744903902,0.189841778295477,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0
"P_00045",1,0,0,0,0,0,0,0
"P_01198",0.899372290170193,0.04120559114735,0,0.0375897883906038,0,0,0,0
"P_00047",0.882433831618456,0,0,0,0.0941402963825794,0,0,0
"P_00048",1,0,0,0,0,0,0,0
"P_00050",1,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0
"P_00053",0.927457451627516,0,0,0.0123196143143726,0.0602229340581117,0,0,0
"P_00054",1,0,0,0,0,0,0,0
"P_00055",0.95957095709571,0,0,0.0404290429042904,0,0,0,0
"P_00061",1,0,0,0,0,0,0,0
"P_00066",0.871586423348217,0,0,0.0512036497767424,0.00413350158545266,0,0,0
"P_00070",1,0,0,0,0,0,0,0
"P_00072",1,0,0,0,0,0,0,0
"P_00073",0.928064129942406,0,0.0191144114411441,0.0282145861644988,0,0,0,0
"P_00077",1,0,0,0,0,0,0,0
"P_00084",0.883218468905714,0,0,0,0.0396524946612308,0,0,0
"P_00087",0.898773700899502,0.0660146897042646,0.0352116093962337,0,0,0,0,0
"P_00088",0.984946288746522,0,0,0.0150537112534783,0,0,0,0
"P_00089",0.920541318837766,0,0,0,0.0155794991263832,0,0,0
"P_00093",1,0,0,0,0,0,0,0
"P_00095",0.861167734420501,0.100619620785608,0,0,0.00035591794473565,0,0,0
"P_00098",0.962976444703294,0,0,0.00697275609913933,0,0,0,0
"P_00102",0.789377467158481,0,0,0,0,0,0,0
"P_00109",0.999037403740374,0,0,0,0,0,0,0
"P_00113",0.899768653335922,0,0,0,0,0,0,0
"P_00114",0.988812851873423,0,0,0,0.0111871481265774,0,0,0
"P_00116",0.936687051058047,0,0.00443279622079855,0.00529832395004206,0,0,0,0
"P_00119",0.936606160616062,0,0,0,0,0,0,0
"P_00123",0.913657542224811,0,0,0,0.0752281110463988,0,0,0
"P_00124",0.804706205914709,0,0,0.00372904937552579,0.00398789878987899,0,0,0
"P_00131",0.938296770853556,0,0,0.00423057011583511,0.0458648806057076,0,0,0
"P_00133",1,0,0,0,0,0,0,0
"P_00135",1,0,0,0,0,0,0,0
"P_00138",0.827792338057335,0,0,0.0931534329903579,0,0,0,0
"P_00141",0.993326538536207,0,0,0,0,0,0,0
"P_00143",0.963380896913221,0,0,0.00268556267391445,0,0,0,0
"P_00145",0.971275804050993,0,0,0,0.0287241959490067,0,0,0
"P_00147",0.961310101598395,0,0,0,0.00647932440302854,0,0,0
"P_00149",0.889616902866757,0,0,0.0301236005953537,0.0602795573675015,0,0,0
"P_00151",0.906037662589788,0,0,0,0.0939623374102116,0,0,0
"P_00152",0.788786966931987,0,0,0,0.164563515175047,0,0,0
"P_00153",0.957119976703553,0,0,0.0130638063806381,0.0298162169158092,0,0,0
"P_00160",1,0,0,0,0,0,0,0
"P_00161",0.807359412411829,0.0223095838995664,0.023628098103928,0.0952242283051835,6.47123535883e-05,0,0,0
"P_00169",0.336827800427102,0.0685303824500097,0.0596890571410082,0.428832589141267,0.00770885912120624,0.0667912379473241,0,0
"P_00172",0.812981298129813,0.104170711188766,0,0.00521743350805669,0,0,0,0
"P_00177",0.77306186501003,0,0,0.003235617679415,0,0,0,0
"P_00185",0.965168575681097,0,0,0,0.00115673332039086,0,0,0
"P_00187",0.99021225651977,0,0,0,0,0,0,0
"P_00190",0.986661166116612,0,0,0,0,0,0,0
"P_00192",0.945156280333916,0.0300669772859639,0,0.00215168575681098,0.0029767682650618,0,0,0
"P_00200",0.95973273797968,0,0,0.0131446968226234,0.0271225651976962,0,0,0
"P_00201",1,0,0,0,0,0,0,0
"P_00203",0.983660130718954,0,0,0,0,0,0,0
"P_00204",0.782663560473694,0.0626496473176729,0,0,0.091891542095386,0,0,0
"P_00207",0.978847149420824,0,0.00029120559114735,0.00546819387821135,0.00117291140878794,0.0104429560603119,0,0
"P_00211",1,0,0,0,0,0,0,0
"P_00212",0.973427489807804,0,0,0.0142609849220216,0,0,0,0
"P_00216",0.901645311589983,0,0,0,0,0,0,0
"P_00219",0.929107616644017,0,0,0.0708923833559827,0,0,0,0
"P_00221",0.89170387626998,0.0227221251536918,0,0.0174238012036498,0,0,0,0
