"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",1,0,0,0,0,0,0,0
"P_00002",0.517048362333675,0,0,0,0,0,0,0
"P_00003",0.923298362333674,0,0,0.000895598771750256,0,0,0,0
"P_00004",0.671763050153531,0,0,0,0,0,0,0
"P_00005",0.808725690890481,0,0,0,0.143967502558854,0,0,0
"P_00006",1,0,0,0,0,0,0,0
"P_00010",1,0,0,0,0,0,0,0
"P_00015",NA,NA,NA,NA,NA,NA,NA,NA
"P_00018",0.962544779938588,0,0,0,0.0374552200614125,0,0,0
"P_00022",NA,NA,NA,NA,NA,NA,NA,NA
"P_00026",0.741012026612078,0,0,0,0.135875127942682,0,0,0
"P_00030",NA,NA,NA,NA,NA,NA,NA,NA
"P_00036",0.846404810644831,0,0.0364636642784033,0.117131525076766,0,0,0,0
"P_00037",0.762154554759468,0,0,0.220797082906858,0,0,0,0
"P_00042",NA,NA,NA,NA,NA,NA,NA,NA
"P_00045",NA,NA,NA,NA,NA,NA,NA,NA
"P_01198",0.968398157625384,0,0,0.0316018423746162,0,0,0,0
"P_00047",NA,NA,NA,NA,NA,NA,NA,NA
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",1,0,0,0,0,0,0,0
"P_00051",NA,NA,NA,NA,NA,NA,NA,NA
"P_00053",0.930846980552712,0,0,0,0.0691530194472876,0,0,0
"P_00054",NA,NA,NA,NA,NA,NA,NA,NA
"P_00055",1,0,0,0,0,0,0,0
"P_00061",1,0,0,0,0,0,0,0
"P_00066",1,0,0,0,0,0,0,0
"P_00070",NA,NA,NA,NA,NA,NA,NA,NA
"P_00072",NA,NA,NA,NA,NA,NA,NA,NA
"P_00073",0.959953940634596,0,0.0400460593654043,0,0,0,0,0
"P_00077",1,0,0,0,0,0,0,0
"P_00084",0.849635363357216,0,0,0,0.0934621289662231,0,0,0
"P_00087",0.99174769703173,0,0.00825230296827022,0,0,0,0,0
"P_00088",1,0,0,0,0,0,0,0
"P_00089",0.980552712384852,0,0,0,0,0,0,0
"P_00093",1,0,0,0,0,0,0,0
"P_00095",0.891792476970317,0.0560069089048106,0,0,0,0,0,0
"P_00098",1,0,0,0,0,0,0,0
"P_00102",0.715391504605936,0,0,0,0,0,0,0
"P_00109",1,0,0,0,0,0,0,0
"P_00113",0.941018423746162,0,0,0,0,0,0,0
"P_00114",1,0,0,0,0,0,0,0
"P_00116",0.949750511770727,0,0,0,0,0,0,0
"P_00119",0.970093398157625,0,0,0,0,0,0,0
"P_00123",0.938939355168884,0,0,0,0.0458034800409417,0,0,0
"P_00124",0.997824974411464,0,0,0,0,0,0,0
"P_00131",0.880405578300921,0,0,0,0.119594421699079,0,0,0
"P_00133",1,0,0,0,0,0,0,0
"P_00135",1,0,0,0,0,0,0,0
"P_00138",0.949622569089048,0,0,0.0503774309109519,0,0,0,0
"P_00141",1,0,0,0,0,0,0,0
"P_00143",0.926209058341863,0,0,0,0,0,0,0
"P_00145",1,0,0,0,0,0,0,0
"P_00147",0.959857983623337,0,0,0,0,0,0,0
"P_00149",0.93110286591607,0,0,0,0.0688971340839304,0,0,0
"P_00151",0.984774820880246,0,0,0,0.0152251791197544,0,0,0
"P_00152",0.562116171954964,0,0,0,0.341670931422723,0,0,0
