"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_10197",0.147913761941647,0.0864020139426801,0.0344552026852569,0.056857733023496,0.00350761683449522,0,0,0
"P_09732",0.814457784663052,0.0194732765298218,0.00132455460883036,0.0946307771753163,0,0,0,0
"P_09733",0.921204492641363,0,0,0.0210379550735864,0,0,0,0
"P_09740",0.858421120578363,0.02428350116189,0.00442550994061451,0.021143816163181,0,0,0,0
"P_09742",0.939490059385489,0.0388303640588691,0,0.0185734572682675,0,0,0,0
"P_09746",0.509971598244255,0.0695765556416215,0.219805060676478,0.0480790085205267,0.0187903434030467,0,0,0
"P_10144",0.723585076168345,0.191356829331268,0.00366124451329719,0.0525290472501936,0,0,0,0
"P_10146",0.921466563387555,0,0.00938290730699716,0,0,0,0,0
"P_10149",0.980595145881745,0.00798993028659954,0,0.00607539375161374,0,0,0,0
"P_10157",0.97919054996127,0,0,0.0050296927446424,0,0,0,0
"P_10159",0.929613994319649,0,0,0.00305060676478182,0,0,0,0
"P_10176",0.73570100697134,0,0,0.0230518977536793,0.00984120836560806,0,0,0
"P_10177",0.577867286341337,0.0309243480506068,0,0.0258430157500645,0,0,0,0
"P_10181",0.999998709011103,0,0,0,0,0,0,0
"P_10183",0.9687115930803,0,0,0.0300826232894397,0,0,0,0
"P_10198",0.330599018848438,0.265493157758843,0.0326633100955332,0.0437606506584043,0.00196101213529564,0.0402827265685515,0,0
"P_10200",0.738982700748773,0.0783668990446682,0.0248967208882004,0.0575161373612187,0.00235089078233927,0.000587399948360444,0,0
"P_10205",0.97627291505293,0,0,0,0,0,0,0
"P_10219",0.876775109734056,0,0,0,0.00498450813323005,0,0,0
"P_10222",0.917498063516654,0,0,0.00752388329460367,0.0228956880970824,0,0,0
"P_10225",0.688803253292022,0,0,0.0444177640072295,0,0,0,0
"P_10227",0.996383940098115,0,0,0,0,0,0,0
"P_10244",0.838676736380067,0,0,0.00446553059643687,0.00116963594113091,0,0,0
"P_10248",0.99152078492125,0,0.00648851019881229,0,0.00199070487993803,0,0,0
"P_10267",0.708844564936742,0,0,0.0651678285566744,0,0,0,0
"P_10270",0.546954557190808,0.215908856183837,0.00115156209656597,0.0160702297960238,0.00333204234443584,0.0020862380583527,0,0
"P_10272",0.960122643945262,0.0062574231861606,0,0.0269145365349858,0,0,0,0
"P_12680",0.802707203718048,0.142019106635683,0.0146398140975988,0.0161722179189259,0,0,0,0
"P_12734",0.790857216627937,0.0411799638523109,0,0.0011154144074361,0,0,0,0
"P_12738",0.856577588432739,0.0654027885360186,0.0215543506325846,0.0119106635682933,0,0,0,0
"P_12745",0.581101213529564,0.134238316550478,0.000894655305964369,0.0746707978311387,0,0,0,0
"P_10285",0.969613994319649,0,0,0,0,0,0,0
"P_10289",0.68353085463465,0,0.00854892847921508,0,0.105604182804028,0.0408985282726569,0,0
"P_10290",0.94148463723212,0,0,0.0171869351923573,0.00218564420345985,0,0,0
"P_10291",0.944811515620966,0.0180544797314743,0,0,0.000659695326620191,0.001143816163181,0,0
"P_10311",0.702764007229538,0,0.0783552801445908,0.0151045701006971,0.0432791117996385,0.0249690162664601,0,0
"P_10312",0.96294861864188,0,0.0216511747998967,0.00189904466821585,0.00522075910147173,0,0,0
"P_10313",0.773999483604441,0.0197534211205784,0,0.0795843015750065,0.0257707203718048,0,0,0
"P_10315",0.731852569067906,0,0,0,0.0203369481022463,0,0,0
"P_10329",0.798600568035115,0,0,0.00484637232119804,0.0271352956364575,0,0,0
"P_10330",0.669129873483088,0,0.151582752388329,0.0277084947069455,0.0466356829331268,0.0378918151303899,0,0
"P_10331",0.872645236250968,0,0.013004131164472,0,0.0995507358636716,0,0,0
"P_10359",0.701389104053705,0.143454686289698,0,0.073293312677511,0.0360198812290214,0,0,0
"P_10382",0.774673379808934,0.0304441001807384,0,0.0572553576039246,0.0343687064291247,0,0,0
"P_10393",0.84855151045701,0,0,0.0192847921507875,0.0663697392202427,0,0,0
"P_10394",0.661680867544539,0,0,0.11712367673638,0.0792434805060677,0,0,0
"P_10416",0.531440743609605,0.00195326620191066,0.000380841724761167,0.0691737671056029,0.128709011102505,0,0,0
"P_10428",0.654816679576556,0.0456196746707978,0.0127962819519752,0.0257875032274722,0.11855151045701,0,0,0
"P_10430",0.66849470694552,0.133337206300026,0.0147585850761683,0.0391105086496256,0.0800968241673122,0.00108184869610121,0,0
"P_12767",0.499470694552027,0.108601859024012,0.0167725277562613,0.0927059127291505,0.0908313968499871,0,0,0
"P_12768",0.755450555125226,0.0293996901626646,0.00719726310353731,0.0387296669248644,0.0700658404337723,0,0,0
"P_12905",0.517326361993287,0,0.0116589207332817,0.00708882003614769,0.27421636973922,0,0,0
"P_10433",0.968361735089078,0,0,0,0.00215336948102246,0,0,0
"P_10435",0.953585076168345,0,0,0.00518719339013685,0.0380815904983217,0,0,0
"P_10971",0.653160340821069,0.0643712884069197,7.87503227472244e-05,0.054710818486961,0.00898399173767106,0,0,0
"P_10998",0.691257423186161,0.182026852569068,0,0.0136354247353473,0.0226155435063258,0,0,0
"P_11021",0.605543506325846,0.00738962044926414,0.00394913503743868,0.0172695584817971,0.045153627678802,0,0,0
"P_11022",0.728326878388846,0,0,0,0.0312148205525432,0,0,0
"P_11040",0.871023754195714,0.0701729925122644,0.00269171185127808,0.016008262328944,0.015557707203718,0,0,0
"P_11041",0.581152853085463,0.0887929253808417,0.0137761425251743,0.0427188226181255,0.0771804802478699,0,0.00603408210689388,0
"P_11043",0.399066615027111,0,0,0,0.330459592047508,0,0,0
"P_11057",0.81076813839401,0.16009295120062,0.0011722179189259,0.00396720888200361,0,0,0,0
"P_11058",0.935999225406661,0.0204131164471986,0,0.0052297960237542,0.0127872450296927,0,0,0
"P_11061",0.76929899302866,0.0231306480764265,0,0,0.18643816163181,0,0,0
"P_11063",0.666012135295636,0.141924864446166,0.00222050090369223,0.0533100955331784,0.00175574490059385,0,0,0
"P_11081",0.766745416989414,0.190011618900077,0,0,0.0318912987348309,0,0,0
"P_11082",0.656812548412084,0.0183836819003357,0,0.00498838109992254,0.0967363800671314,0,0,0
"P_11101",0.930091660211722,0,0,0,0.0699083397882778,0,0,0
"P_11103",0.966834495223341,0,0,0,0.0331655047766589,0,0,0
"P_11109",0.685796540149755,0,0,0.0718254583010586,0.069572682674929,0,0,0
"P_11129",0.878128066098631,0,0,0,0.0818357862122386,0,0,0
"P_11132",0.930537051381358,0,0,0,0.0189104053705138,0,0,0
"P_11153",0.846937774335141,0.0340175574490059,0.000298218435321456,0.0694771494965143,0.0323095791376194,0,0,0
"P_12826",0.524087270849471,0.208879421636974,0,0,0.0523934934159566,0,0,0
"P_11166",0.996139943196488,0,0,0,0,0,0,0
"P_11167",0.967909888974955,0.0255719080815905,0,0.000201394268009295,0.000484120836560806,0,0,0
"P_11170",0.875946294861864,0.0876749289956106,0,0.00556416214820553,0,0,0,0
"P_11186",0.850897237283759,0,0,0,0.0561851278079009,0,0,0
"P_11187",0.984916085721663,0,0,0,0.00704621740253034,0,0,0
"P_11189",0.607751097340563,0.337412858249419,0.00664601084430674,0.00866253550219468,0,0,0,0
"P_11190",0.87866511747999,0.108122902143042,0,0,0,0,0,0
"P_11205",0.682916343919442,0.198049315775884,0.0266460108443067,0.0479421636973922,0,0,0,0
"P_11209",0.884535243996902,0.0854608830364059,0,0.00890782339271882,0.0143467596178673,0,0,0
"P_11224",0.844310611928737,0,0,0.00343919442292796,0.00895300800413116,0,0,0
"P_11227",0.81493286857733,0.146090885618384,0.00334624322230829,0.00510715207849213,0,0,0,0
"P_11230",0.69002065582236,0.2928866511748,0,0,0.00171056028918151,0,0,0
"P_11232",0.904913503743868,0.059715982442551,0.0018848437903434,0,0.00192357345726827,0.0157449005938549,0,0
"P_11243",0.956045701006971,0,0,0.028999483604441,0,0,0,0
"P_11247",0.802621998450813,0.164714691453654,0,0.000850761683449522,0,0,0,0
"P_11251",0.85638652207591,0.110533178414666,0,0,0,0.008285566744126,0,0
"P_11267",0.777720113607023,0.0882481280660986,0,0.00141879679834753,0,0,0,0
"P_11268",0.707250193648335,0.166169635941131,0.00176478182287632,0.0227317325071004,0,0,0,0
"P_11269",0.96209269300284,0.0359398399173767,0,0,0,0,0,0
"P_11273",0.996045701006971,0,0.00395429899302866,0,0,0,0,0
"P_11285",0.570480247869868,0.265892073328169,0.0477807900852053,0.014421636973922,0,0.014004647560031,0,0
"P_11298",0.963077717531629,0.0369222824683708,0,0,0,0,0,0
"P_11299",0.967521301316809,0.0324786986831913,0,0,0,0,0,0
"P_11301",0.948023495997934,0.0504531371030209,0,0,0,0,0,0
"P_11318",0.829656596953266,0.170343403046734,0,0,0,0,0,0
"P_11775",0.642544539116964,0.269562354763749,0.0250012909888975,0.012001032791118,0.00150271107668474,0.0062858249419055,0,0
"P_12900",0.594448747740769,0.375578363026078,0.00398657371546605,0.0188084172476117,0,0,0,0
"P_11811",0.693856183836819,0.276982958946553,0.000920475083914278,0.00899302865995352,0,0.000543506325845598,0,0
"P_11813",0.788403046733798,0.18138652207591,0.00164213787761425,0.00924477149496514,0,0,0,0
"P_11827",0.759142783372063,0.211920991479473,0.000672605215595146,0.000904983217144333,0,0,0,0
"P_11832",0.82418538600568,0.16857216627937,0,0,0,0,0,0
"P_11848",0.995224632068164,0,0,0,0,0,0,0
"P_11851",0.761473018332042,0.217348308804544,0,0,0,0,0,0
"P_11854",0.731514329976762,0.250464756003098,0.0081706687322489,0,0.0037438678027369,0,0,0
"P_11871",0.853017041053447,0.145055512522592,0,0,0.00192744642396075,0,0,0
