"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"P_10197",0.100632584559773,0,0,0,0,0,0.0922101729925123,0.0298244255099406,0,0.665406661502711,0.00318745158791634,0,0,0.0426219984508133,0.0272088820036148,0.000945003872966692,0,0.00350761683449522,0,0,0.0220772011360702,0,0.000828814872192099,0,0,0.00125871417505809,0,0,0,0.00191582752388329,0.00731732507100439,0.0010573199070488,0,0,0,0,0,0,0,0,0
"P_09732",0.0194732765298218,0,0,0,0,0,0.178373353989156,0.545451846114123,0.00498967208882004,0.0701136070229796,0.0118564420345985,0.00581848696101214,0,0.0946307771753163,0.0679679834753421,0,0,0,0,0,4.64756003098373e-05,0,0,0,0,0,0.00127807900852053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_09733",0,0,0,0,0,0,0.892029434546863,0.00632971856442035,0,0.0577575522850503,0.0107771753162923,0.0120681642137878,0,0.0210379550735864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_09740",0.02428350116189,0,0,0,0,0,0.0937942163697392,0.643303640588691,0.0734637232119804,0.0917260521559515,0,0.0140898528272657,0.00203459850245288,0.021143816163181,0.0317350890782339,0,0,0,0,0,0,0,0,0.00442550994061451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_09742",0.0388303640588691,0,0,0,0,0,0.110983733539892,0.620508649625613,0.162725277562613,0.00310611928737413,0,0.0299522334107927,0.0153201652465789,0.0185734572682675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_09746",0.0695765556416215,0,0,0,0,0,0.0120901110250452,0.235821068938807,0.244847663310096,0.133777433514072,0,0,0.00446940356312936,0.0480790085205267,0.0124941905499613,0.000249160857216628,0,0.0187903434030467,0,0,0,0,0,0,0,0.125712625871418,0,0,0,0,0,0,0.0940924348050607,0,0,0,0,0,0,0,0
"P_10144",0.191923573457268,0,0,0,0.00146914536534986,0,0.148131939065324,0.442729150529305,0.126906790601601,0.0310908856183837,0,0,0,0.0525290472501936,0.000112316034082107,0.00144590756519494,0,0,0,0,0,0,0,0,0,0.00248902659437129,0.0011722179189259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10146",0,0,0,0,0,0,0.284852827265686,0.00994965143299768,0.568545055512523,0.069150529305448,0,0,0.0336392977020398,0,0.0153588949135037,0.00912083656080558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00840433772269559,0.000978569584301575,0,0,0,0,0,0,0,0,0
"P_10149",0.00798993028659954,0,0,0,0,0,0.34653627678802,0.631618900077459,0,0.00533953008004131,0,0.00243996901626646,0,0.00607539375161374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10157",0,0,0,0,0,0,0.440145881745417,0.435645494448748,0.0306829331267751,0.0157797572940873,0,0.041704105344694,0,0.0050296927446424,0.00775367931835786,0.0232584559772786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10159",0,0,0,0,0,0,0.500764265427317,0.0941892589723728,0.318151303898786,0.0673353989155693,1.93648334624322e-05,0,0.0115414407436096,0.00305060676478182,0.00494836044410018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10176",0,0,0,0,0,0,0.185787503227472,0,0.538276529821843,0.231405886909373,0.00604311902917635,0,0.00559385489284792,0.0230518977536793,0,0,0,0.00984120836560806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10177",0.0309243480506068,0,0,0,0,0,0.405237541957139,0.00568035114898012,0.142096565969533,0.365365349857991,0.0202878905241415,0,0,0.0258430157500645,0.00456493674154402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10181",0,0,0,0,0,0,0.664271882261813,0.21559772785954,0.0943661244513297,1.29098889749548e-06,0,0,0.00556803511489801,0,0.0201949393235218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10183",0,0,0,0,0,0,0.607254066615027,0.350826232894397,0,0.00120578363026078,0.000386005680351149,0,0,0.0300826232894397,0.0102452878905241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_10198",0.260704879938033,0,0,0,0.00478827782081074,0,0.189515879163439,0.030583526981668,0.030284017557449,0.285240123934934,0.00638264910921766,0,0,0.0437606506584043,0.065846888716757,0.00798605731990705,0,0.00196101213529564,0,0,0,0,0,0.00150916602117222,0,0.000921766072811774,0.0134714691453653,0.000959204750839143,0,0,0.00896591789310612,0.00683578621223857,0,0,0,0,0,0.0391711851278079,0.00111154144074361,0,0
