"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"P_00001",0,0,0,0,0,0,0.738172435512039,0,0,0.120426436485442,0.0635825531793066,0,0,0.0441610123393169,0,0,0,0.0336575624838959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00002",0,0,0,0,0,0,0.362821724068825,0.0949103896475708,0,0.40697557903175,0.00526425033639669,0,0,0,0,0,0,0.130028056915457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00003",0,0,0,0,0,0,0.726244667754588,0.0114911677975321,0,0.160446906581923,0.0140535085459074,0,0,0.0364883048469753,0,0,0,0.051275444473074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00004",0,0,0,0,0,0,0.340379770391365,0.367427495777148,0,0.214349108190902,0.0142753872140628,0,0,0,0,0,0,0.0635682384265224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00005",0,0,0,0,0,0,0.0158679034613072,0.665922299521887,0,0.269081565461364,0,0,0,0,0.0057151650490996,0,0,0.0434130665063414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00006",0,0,0,0,0,0,0.74867588536746,0,0,0.103749749491826,0.147574365140714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00010",0,0,0,0,0,0,0.469946176529531,0.188840218729423,0.306024363709239,0.00653110595780011,0,0,0,0,0.0286581350740073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00015",0,0,0,0,0,0,0.942551318388731,0,0,0.0222200750093046,0,0,0,0.00833834349680781,0,0.00449841106244095,0,0.0223918520427152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00018",0,0,0,0,0,0,0.29564616794068,0.595278994531764,0,0.00646311088207507,0,0,0,0.00248360960806207,0,0.0433414927424203,0,0.0567866242949984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00022",0,0,0,0,0,0,0.756251968278508,0.0505811789630393,0,0.0951143748747459,0.042013799421684,0,0,0.0310379627243837,0,0,0,0.0250007157376392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00026",0,0,0,0,0,0,0.474612785937187,0,0.172578659566549,0.0868583412064474,0.0894385753958029,0,0.117126885968679,0.014089295427868,0,0.00546107818717971,0,0.0398343783102866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00030",0,0,0,0,0,0,0.911395258953878,0.0235084027598843,0,0.0183014114346245,0.0240165764837241,0.00983065647456268,0,0.0018466031091643,0,0,0,0.0111010907841622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00036",0,0,0,0,0,0,0.744660597211486,0.00683887314266083,0,0.00164261788198918,0.0421497895731341,0,0,0.172331730081022,0,0.00341406853903633,0,0,0,0,0,0,0,0.00819519596896562,0,0,0,0,0,0,0.0207671276017063,0,0,0,0,0,0,0,0,0,0
"P_00037",0.0147298806149618,0,0,0,0,0,0.662314981820264,0,0,0.032880987145352,0.050953362535429,0,0,0.115609522173552,0,0.0976301926765725,0,0,0,0,0,0,0,0.00165335394657734,0,0,0,0,0,0,0.0242277190872914,0,0,0,0,0,0,0,0,0,0
"P_00042",0,0,0,0,0,0,0.934331071602393,0,0,0,0.00241561453233703,0,0,0,0,0.0632533138652695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00045",0,0,0,0,0,0,0.98941424031607,0,0,0.00127401299779553,0.00931174668613473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_01198",0.0771636748833348,0,0,0,0,0,0.852386269289129,0.0110438317730253,0,0.00981634172177846,0.0307731397978757,0,0,0.0188167425348564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00047",0,0,0,0,0,0,0.818506828137078,0,0,0.023945002719803,0.0656581923330184,0,0,0,0,0.0238269060093332,0,0.0680630708007673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",0,0,0,0,0,0,0.779960777577371,0,0,0.00254086861919895,0.21749835380343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00051",0,0,0,0,0,0,0.973972200750093,0,0,0,0.026027799249907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00053",0,0,0,0,0,0,0.936431761573478,0,0,0,0.000458072089095021,0,0,0.00717169114489393,0,0,0,0.0559384751925334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P_00054",0,0,0,0,0,0,0.987113143806006,0,0,0,0,0,0,0.0128868561939935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
