"","BC","MT","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",1,0,0,0,0,0,0,0,0
"P_00002",0.517995857068876,0.482004142931124,0,0,0,0,0,0,0
"P_00003",0.923647074054894,0.0756732263076126,0,0,0.000679699637493527,0,0,0,0
"P_00004",0.672449508026929,0.327550491973071,0,0,0,0,0,0,0
"P_00005",0.80923096841015,0.0460577421025375,0,0,0,0.144711289487312,0,0,0
"P_00006",1,0,0,0,0,0,0,0,0
"P_00010",1,0,0,0,0,0,0,0,0
"P_00015",1,0,0,0,0,0,0,0,0
"P_00018",0.962907819782496,0,0,0,0,0.0370921802175039,0,0,0
"P_00022",1,0,0,0,0,0,0,0,0
"P_00026",0.740128171931642,0.122669601242879,0,0,0,0.137202226825479,0,0,0
"P_00030",1,0,0,0,0,0,0,0,0
"P_00036",0.845611082340756,0,0,0.0365095805282237,0.11787933713102,0,0,0,0
"P_00037",0.762331693423097,0.0169924909373382,0,0,0.220675815639565,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0,0
"P_00045",1,0,0,0,0,0,0,0,0
"P_01198",0.969025116519938,0,0,0,0.0309748834800621,0,0,0,0
"P_00047",1,0,0,0,0,0,0,0,0
"P_00048",1,0,0,0,0,0,0,0,0
"P_00050",1,0,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0,0
"P_00053",0.931706369756603,0,0,0,0,0.0682936302433972,0,0,0
"P_00054",1,0,0,0,0,0,0,0,0
"P_00055",1,0,0,0,0,0,0,0,0
"P_00061",1,0,0,0,0,0,0,0,0
"P_00066",1,0,0,0,0,0,0,0,0
"P_00070",1,0,0,0,0,0,0,0,0
"P_00072",1,0,0,0,0,0,0,0,0
"P_00073",0.959768254790264,0,0,0.0402317452097359,0,0,0,0,0
"P_00077",1,0,0,0,0,0,0,0,0
"P_00084",0.85043371310202,0.0556382703262558,0,0,0,0.0939280165717245,0,0,0
"P_00087",0.992846970481616,0,0,0.00715302951838426,0,0,0,0,0
"P_00088",1,0,0,0,0,0,0,0,0
"P_00089",0.981292076644226,0.0187079233557742,0,0,0,0,0,0,0
"P_00093",1,0,0,0,0,0,0,0,0
"P_00095",0.892413257379596,0.0521103055411704,0.0554764370792336,0,0,0,0,0,0
"P_00098",1,0,0,0,0,0,0,0,0
"P_00102",0.715432418436044,0.284567581563957,0,0,0,0,0,0,0
"P_00109",1,0,0,0,0,0,0,0,0
"P_00113",0.943002330398757,0.0569976696012429,0,0,0,0,0,0,0
"P_00114",1,0,0,0,0,0,0,0,0
"P_00116",0.950640859658208,0.0493591403417918,0,0,0,0,0,0,0
"P_00119",0.971970481615743,0.0280295183842569,0,0,0,0,0,0,0
"P_00123",0.939377265665458,0.0149533920248576,0,0,0,0.0456693423096841,0,0,0
"P_00124",0.998446400828586,0.00155359917141378,0,0,0,0,0,0,0
"P_00131",0.880049197307095,0,0,0,0,0.119950802692905,0,0,0
"P_00133",1,0,0,0,0,0,0,0,0
"P_00135",1,0,0,0,0,0,0,0,0
"P_00138",0.949022527187986,0,0,0,0.0509774728120145,0,0,0,0
"P_00141",1,0,0,0,0,0,0,0,0
"P_00143",0.926301139306059,0.073698860693941,0,0,0,0,0,0,0
"P_00145",1,0,0,0,0,0,0,0,0
"P_00147",0.960189021232522,0.039810978767478,0,0,0,0,0,0,0
"P_00149",0.930767736923874,0,0,0,0,0.0692322630761264,0,0,0
"P_00151",0.98459347488348,0,0,0,0,0.0154065251165199,0,0,0
"P_00152",0.558518902123252,0.0969057483169342,0,0,0,0.344575349559814,0,0,0
"P_00153",1,0,0,0,0,0,0,0,0
"P_00160",1,0,0,0,0,0,0,0,0
"P_00161",0.800233039875712,0.0485823407560849,0,0,0.151184619368203,0,0,0,0
"P_00169",0.283078715691352,0,0.0847682547902641,0.0741843604350078,0.470255049197307,0,0.0877136198860694,0,0
