"","BC","AG","UB","PT","RC","AC","ZH","LT"
"P_00001",0.801754988691345,0,0,0.0441610123393169,0.0336575624838959,0,0,0
"P_00002",0.462996364052793,0,0,0,0.130028056915457,0,0,0
"P_00003",0.751789344098027,0,0,0.0364883048469753,0.051275444473074,0,0,0
"P_00004",0.722082653382576,0,0,0,0.0635682384265224,0,0,0
"P_00005",0.687505368032294,0,0,0,0.0434130665063414,0,0,0
"P_00006",0.896250250508174,0,0,0,0,0,0,0
"P_00010",0.9934688940422,0,0,0,0,0,0,0
"P_00015",0.947049729451172,0,0,0.00833834349680781,0.0223918520427152,0,0,0
"P_00018",0.934266655214865,0,0,0.00248360960806207,0.0567866242949984,0,0,0
"P_00022",0.848846946663231,0,0,0.0310379627243837,0.0250007157376392,0,0,0
"P_00026",0.859217985055398,0,0,0.014089295427868,0.0398343783102866,0,0,0
"P_00030",0.968750894672049,0,0,0.0018466031091643,0.0111010907841622,0,0,0
"P_00036",0.797063328466317,0,0.0289623235706719,0.172331730081022,0,0,0,0
"P_00037",0.810898537032265,0.0147298806149618,0.0258810730338687,0.115609522173552,0,0,0,0
"P_00042",1,0,0,0,0,0,0,0
"P_00045",0.998725987002204,0,0,0,0,0,0,0
"P_01198",0.89420324086003,0.0771636748833348,0,0.0188167425348564,0,0,0,0
"P_00047",0.90799192647943,0,0,0,0.0680630708007673,0,0,0
"P_00048",NA,NA,NA,NA,NA,NA,NA,NA
"P_00050",0.997459131380801,0,0,0,0,0,0,0
"P_00051",1,0,0,0,0,0,0,0
"P_00053",0.936889833662573,0,0,0.00717169114489393,0.0559384751925334,0,0,0
"P_00054",0.987113143806006,0,0,0.0128868561939935,0,0,0,0
"P_00055",0.929524893355092,0,0,0.0704751066449082,0,0,0,0
"P_00061",0.983466460534226,0,0,0,0.0165335394657734,0,0,0
"P_00066",0.864106473131209,0,0,0.0639762088808726,0.0224025881073034,0,0,0
"P_00070",0.962205473961465,0,0,0.00332460133413496,0.00619828795556701,0,0,0
"P_00072",1,0,0,0,0,0,0,0
"P_00073",0.909122791949383,0,0.0121460677374102,0.0624159008273927,0,0,0,0
"P_00077",0.979204242892725,0,0,0.0203305276417876,0,0,0,0
"P_00084",0.922882848063214,0,0,0,0.0212144636262132,0,0,0
"P_00087",0.870530218443128,0.0884830656474563,0.0247108419937588,0.0120959661026654,0,0,0,0
"P_00088",0.969337799536202,0,0.00194680637865384,0.0287153940851442,0,0,0,0
"P_00089",0.836217756019354,0,0,0,0.0489385610810501,0,0,0
"P_00093",0.951812963440121,0,0,0.0042729537060895,0,0,0,0
"P_00095",0.738852386269289,0.106913309857139,0,0.0593597011079619,0.00351427180852587,0,0,0
"P_00098",0.882425778006814,0.0241668813879584,0,0.0251975435884222,0.00929385324515446,0,0,0
"P_00102",0.820790031206161,0,0,0,0.000769417962151794,0,0,0
"P_00109",0.939631108820751,0,0,0,0,0,0,0
"P_00113",0.887496779180624,0,0,0,0.0218693635660912,0,0,0
"P_00114",0.977346903718973,0,0,0,0.0226530962810272,0,0,0
"P_00116",0.90699347247273,0,0.00886798934982393,0.040446333991812,0,0,0,0
"P_00119",0.907666265853589,0.00673509118497524,0,0.00825603366829855,0,0,0,0
"P_00123",0.895044232586103,0,0,0.00750808783532308,0.0632389991124853,0,0,0
"P_00124",0.776042114002691,0,0,0.0160253657419336,0.0325946920896676,0,0,0
"P_00131",0.967759598041742,0,0,0.00187165392653669,0.0252333304703828,0,0,0
"P_00133",0.995340547968736,0,0,0,0.00465945203126342,0,0,0
"P_00135",1,0,0,0,0,0,0,0
"P_00138",0.784133528013971,0,0,0.0934681783045607,0,0,0,0
"P_00141",0.966721778464886,0,0,0,0,0,0,0
"P_00143",0.964259640986,0,0,0.00349995705574165,0,0,0,0
